protocolType	typeId	subsystemId	controllable	name	rawName	converterCall	converterContext	defaultValue	defaultValueType
1	4504699139129346	0	io:RollerShutterGenericIOComponent	core:SupportedManufacturerSettingsCommands	io:generalinfo1	func_4504699139129346_0_io_generalinfo1()	local function func_4504699139129346_0_io_generalinfo1(p1) return {"dead_man_up", "dead_man_down", "dead_man_stop", "dead_man_impulse_up", "dead_man_impulse_down", "enter_settings_mode", "save_upper_end_limit", "save_lower_end_limit", "stop_after_save_limit", "save_settings", "invert_rotation", "save_my_position", "delete_my_position", "reset_actuator", "double_power_cut", "eject_from_setting_mode"} end		10
1	4505798650757122	0	io:RollerShutterGenericIOComponent	core:SupportedManufacturerSettingsCommands	io:generalinfo1	func_4505798650757122_0_io_generalinfo1()	local function func_4505798650757122_0_io_generalinfo1(p1) return {"dead_man_up", "dead_man_down", "dead_man_stop", "dead_man_impulse_up", "dead_man_impulse_down", "enter_settings_mode", "save_upper_end_limit", "save_lower_end_limit", "stop_after_save_limit", "save_settings", "invert_rotation", "save_my_position", "delete_my_position", "reset_actuator", "double_power_cut", "eject_from_setting_mode"} end		10
1	4506898162384898	0	io:RollerShutterGenericIOComponent	core:SupportedManufacturerSettingsCommands	io:generalinfo1	func_4506898162384898_0_io_generalinfo1()	local function func_4506898162384898_0_io_generalinfo1(p1) return {"dead_man_up", "dead_man_down", "dead_man_stop", "dead_man_impulse_up", "dead_man_impulse_down", "invert_rotation", "save_my_position", "delete_my_position", "reset_actuator", "double_power_cut", "eject_from_setting_mode"} end		10
1	4507997674012674	0	io:RollerShutterGenericIOComponent	core:SupportedManufacturerSettingsCommands	io:generalinfo1	func_4507997674012674_0_io_generalinfo1()	local function func_4507997674012674_0_io_generalinfo1(p1) return {"dead_man_up", "dead_man_down", "dead_man_stop", "dead_man_impulse_up", "dead_man_impulse_down", "invert_rotation", "save_my_position", "delete_my_position", "reset_actuator", "double_power_cut", "eject_from_setting_mode"} end		10
1	4509097185640450	0	io:RollerShutterGenericIOComponent	core:SupportedManufacturerSettingsCommands	io:generalinfo1	func_4509097185640450_0_io_generalinfo1()	local function func_4509097185640450_0_io_generalinfo1(p1) return {"dead_man_up", "dead_man_down", "dead_man_stop", "dead_man_impulse_up", "dead_man_impulse_down", "invert_rotation", "save_my_position", "delete_my_position", "reset_actuator", "double_power_cut", "eject_from_setting_mode"} end		10
1	4504699139194882	0	io:VerticalExteriorAwningIOComponent	core:SupportedManufacturerSettingsCommands	io:generalinfo1	func_4504699139194882_0_io_generalinfo1()	local function func_4504699139194882_0_io_generalinfo1(p1) return {"dead_man_up", "dead_man_down", "dead_man_stop", "dead_man_impulse_up", "dead_man_impulse_down", "enter_settings_mode", "save_upper_end_limit", "save_lower_end_limit", "stop_after_save_limit", "set_auto_end_limits", "save_settings", "invert_rotation", "save_my_position", "delete_my_position", "set_obstacle_detection", "set_type_lock", "save_auxiliary_end_limit_entry", "save_auxiliary_end_limit_exit", "set_dbe_up", "reset_actuator", "double_power_cut", "eject_from_setting_mode", "set_x_time"} end		10
1	4505798650822658	0	io:VerticalExteriorAwningIOComponent	core:SupportedManufacturerSettingsCommands	io:generalinfo1	func_4505798650822658_0_io_generalinfo1()	local function func_4505798650822658_0_io_generalinfo1(p1) return {"dead_man_up", "dead_man_down", "dead_man_stop", "dead_man_impulse_up", "dead_man_impulse_down", "enter_settings_mode", "save_upper_end_limit", "save_lower_end_limit", "stop_after_save_limit", "set_auto_end_limits", "save_settings", "invert_rotation", "save_my_position", "delete_my_position", "set_obstacle_detection", "set_type_lock", "save_auxiliary_end_limit_entry", "save_auxiliary_end_limit_exit", "set_dbe_up", "reset_actuator", "double_power_cut", "eject_from_setting_mode", "set_x_time"} end		10
1	4506898162450434	0	io:VerticalExteriorAwningIOComponent	core:SupportedManufacturerSettingsCommands	io:generalinfo1	func_4506898162450434_0_io_generalinfo1()	local function func_4506898162450434_0_io_generalinfo1(p1) return {"dead_man_up", "dead_man_down", "dead_man_stop", "dead_man_impulse_up", "dead_man_impulse_down", "enter_settings_mode", "save_upper_end_limit", "save_lower_end_limit", "stop_after_save_limit", "set_auto_end_limits", "save_settings", "invert_rotation", "save_my_position", "delete_my_position", "set_obstacle_detection", "set_type_lock", "save_auxiliary_end_limit_entry", "save_auxiliary_end_limit_exit", "set_dbe_up", "reset_actuator", "double_power_cut", "eject_from_setting_mode", "set_x_time"} end		10
1	4507997674078210	0	io:VerticalExteriorAwningIOComponent	core:SupportedManufacturerSettingsCommands	io:generalinfo1	func_4507997674078210_0_io_generalinfo1()	local function func_4507997674078210_0_io_generalinfo1(p1) return {"dead_man_up", "dead_man_down", "dead_man_stop", "dead_man_impulse_up", "dead_man_impulse_down", "enter_settings_mode", "save_upper_end_limit", "save_lower_end_limit", "stop_after_save_limit", "set_auto_end_limits", "save_settings", "invert_rotation", "save_my_position", "delete_my_position", "set_obstacle_detection", "set_type_lock", "save_auxiliary_end_limit_entry", "save_auxiliary_end_limit_exit", "set_dbe_up", "reset_actuator", "double_power_cut", "eject_from_setting_mode", "set_x_time"} end		10
1	4509097185705986	0	io:VerticalExteriorAwningIOComponent	core:SupportedManufacturerSettingsCommands	io:generalinfo1	func_4509097185705986_0_io_generalinfo1()	local function func_4509097185705986_0_io_generalinfo1(p1) return {"dead_man_up", "dead_man_down", "dead_man_stop", "dead_man_impulse_up", "dead_man_impulse_down", "enter_settings_mode", "save_upper_end_limit", "save_lower_end_limit", "stop_after_save_limit", "set_auto_end_limits", "save_settings", "invert_rotation", "save_my_position", "delete_my_position", "set_obstacle_detection", "set_type_lock", "save_auxiliary_end_limit_entry", "save_auxiliary_end_limit_exit", "set_dbe_up", "reset_actuator", "double_power_cut", "eject_from_setting_mode", "enter_back_impulse_setting_mode", "save_back_impulse_position", "set_x_time"} end		10
