id	deviceType	protocolType	provider	tag	type
1	4506898162384898	1	Somfy	ILMO2 50 io 10/17 BAR NO CABLE	DESC
2	4506898162384898	1	Somfy	1130579	REF
3	4506898162384898	1	Somfy	ILMO2 50 io 10/17 BULK	DESC
4	4506898162384898	1	Somfy	1130567	REF
5	4506898162384898	1	Somfy	ILMO2 50 io 10/17 SW 60 ED RRF 1M BAR	DESC
6	4506898162384898	1	Somfy	1130587	REF
7	4506898162384898	1	Somfy	ILMO2 50 io 10/17 SW 60 ED RRF 3M BAR	DESC
8	4506898162384898	1	Somfy	1130588	REF
9	4506898162384898	1	Somfy	ILMO2 50 io 10/17 SW 60 ED VVF 3 M (80 PCS) BULK	DESC
10	4506898162384898	1	Somfy	1130586	REF
11	4506898162384898	1	Somfy	ILMO2 50 io 10/17 SW 60 ED VVF 3M BAR	DESC
12	4506898162384898	1	Somfy	1130589	REF
13	4506898162384898	1	Somfy	ILMO2 50 io 10/17 VVF 3M BAR	DESC
14	4506898162384898	1	Somfy	1130559	REF
15	4506898162384898	1	Somfy	ILMO2 50 io 10/17 VVF 3M P-100	DESC
16	4506898162384898	1	Somfy	1130563	REF
17	4506898162384898	1	Somfy	ILMO2 50 io 15/17 BAR NO CABLE	DESC
18	4506898162384898	1	Somfy	1130580	REF
19	4506898162384898	1	Somfy	ILMO2 50 io 15/17 BULK	DESC
20	4506898162384898	1	Somfy	1130568	REF
21	4506898162384898	1	Somfy	ILMO2 50 io 15/17 VVF 3M BAR	DESC
22	4506898162384898	1	Somfy	1130560	REF
23	4506898162384898	1	Somfy	ILMO2 50 io 20/17 BAR NO CABLE	DESC
24	4506898162384898	1	Somfy	1130581	REF
25	4506898162384898	1	Somfy	ILMO2 50 io 20/17 BULK	DESC
26	4506898162384898	1	Somfy	1130569	REF
27	4506898162384898	1	Somfy	ILMO2 50 io 20/17 VVF 3M BAR	DESC
28	4506898162384898	1	Somfy	1130561	REF
29	4506898162384898	1	Somfy	ILMO2 50 io 6/17 BAR NO CABLE	DESC
30	4506898162384898	1	Somfy	1130578	REF
31	4506898162384898	1	Somfy	ILMO2 50 io 6/17 BULK	DESC
32	4506898162384898	1	Somfy	1130566	REF
33	4506898162384898	1	Somfy	ILMO2 50 io 6/17 SW 60 ED RRF 1M BAR	DESC
34	4506898162384898	1	Somfy	1130582	REF
35	4506898162384898	1	Somfy	ILMO2 50 io 6/17 SW 60 ED RRF 3M BAR	DESC
36	4506898162384898	1	Somfy	1130583	REF
37	4506898162384898	1	Somfy	ILMO2 50 io 6/17 SW 60 ED VVF 3M (80 PCS) BULK	DESC
38	4506898162384898	1	Somfy	1130585	REF
39	4506898162384898	1	Somfy	ILMO2 50 io 6/17 SW 60 ED VVF 3M BAR	DESC
40	4506898162384898	1	Somfy	1130584	REF
41	4506898162384898	1	Somfy	ILMO2 50 io 6/17 VVF 3M BAR	DESC
42	4506898162384898	1	Somfy	1130558	REF
43	4506898162384898	1	Somfy	ILMO2 50 io 6/17 VVF 3M P-100	DESC
44	4506898162384898	1	Somfy	1130562	REF
45	4506898162384898	1	Somfy	ILMO2 io RH 10/17 BULK	DESC
46	4506898162384898	1	Somfy	1130575	REF
47	4506898162384898	1	Somfy	ILMO2 io RH 15/17 BULK	DESC
48	4506898162384898	1	Somfy	1130576	REF
49	4506898162384898	1	Somfy	ILMO2 io RH 20/17 BULK	DESC
50	4506898162384898	1	Somfy	1130577	REF
51	4506898162384898	1	Somfy	ILMO2 io RH 6/17 BULK	DESC
52	4506898162384898	1	Somfy	1130574	REF
53	4506898162384898	1	Somfy	ILMO2 io TH 10/17 BULK	DESC
54	4506898162384898	1	Somfy	1130571	REF
55	4506898162384898	1	Somfy	ILMO2 io TH 15/17 BULK	DESC
56	4506898162384898	1	Somfy	1130572	REF
57	4506898162384898	1	Somfy	ILMO2 io TH 20/17 BULK	DESC
58	4506898162384898	1	Somfy	1130573	REF
59	4506898162384898	1	Somfy	ILMO2 io TH 6/17 BULK	DESC
60	4506898162384898	1	Somfy	1130570	REF
61	4507997674012674	1	Somfy	ILMO2 50 io 10/17 BAR NO CABLE	DESC
62	4507997674012674	1	Somfy	1130579	REF
63	4507997674012674	1	Somfy	ILMO2 50 io 10/17 BULK	DESC
64	4507997674012674	1	Somfy	1130567	REF
65	4507997674012674	1	Somfy	ILMO2 50 io 10/17 SW 60 ED RRF 1M BAR	DESC
66	4507997674012674	1	Somfy	1130587	REF
67	4507997674012674	1	Somfy	ILMO2 50 io 10/17 SW 60 ED RRF 3M BAR	DESC
68	4507997674012674	1	Somfy	1130588	REF
