protocolType	typeId	subsystemId	controllable	widget	type	uiClass	localPairing
1	4504699139129346	0	io:RollerShutterGenericIOComponent	PositionableRollerShutter	1	RollerShutter	1
1	4505798650757122	0	io:RollerShutterGenericIOComponent	PositionableRollerShutter	1	RollerShutter	1
1	4506898162384898	0	io:RollerShutterGenericIOComponent	PositionableRollerShutter	1	RollerShutter	1
1	4507997674012674	0	io:RollerShutterGenericIOComponent	PositionableRollerShutter	1	RollerShutter	1
1	4509097185640450	0	io:RollerShutterGenericIOComponent	PositionableRollerShutter	1	RollerShutter	1
1	4504699139194882	0	io:VerticalExteriorAwningIOComponent	PositionableScreen	1	ExteriorScreen	1
1	4505798650822658	0	io:VerticalExteriorAwningIOComponent	PositionableScreen	1	ExteriorScreen	1
1	4506898162450434	0	io:VerticalExteriorAwningIOComponent	PositionableScreen	1	ExteriorScreen	1
1	4507997674078210	0	io:VerticalExteriorAwningIOComponent	PositionableScreen	1	ExteriorScreen	1
1	4509097185705986	0	io:VerticalExteriorAwningIOComponent	PositionableScreen	1	ExteriorScreen	1
1	4510196697333762	0	io:VerticalExteriorAwningIOComponent	PositionableScreen	1	ExteriorScreen	1
1	4510196697268226	0	io:RollerShutterGenericIOComponent	PositionableRollerShutter	1	RollerShutter	1
1	4511296208896002	0	io:RollerShutterGenericIOComponent	PositionableRollerShutter	1	RollerShutter	1
1	4512395720523778	0	io:RollerShutterGenericIOComponent	PositionableRollerShutter	1	RollerShutter	1
1	4513495232151554	0	io:RollerShutterGenericIOComponent	PositionableRollerShutter	1	RollerShutter	1
1	4514594743779330	0	io:RollerShutterGenericIOComponent	PositionableRollerShutter	1	RollerShutter	1
1	4515694255407106	0	io:RollerShutterGenericIOComponent	PositionableRollerShutter	1	RollerShutter	1
1	4516793767034882	0	io:RollerShutterGenericIOComponent	PositionableRollerShutter	1	RollerShutter	1
1	4517893278662658	0	io:RollerShutterGenericIOComponent	PositionableRollerShutter	1	RollerShutter	1
1	4518992790290434	0	io:RollerShutterGenericIOComponent	PositionableRollerShutter	1	RollerShutter	1
1	4520092301918210	0	io:RollerShutterGenericIOComponent	PositionableRollerShutter	1	RollerShutter	1
1	4521191813545986	0	io:RollerShutterGenericIOComponent	PositionableRollerShutter	1	RollerShutter	1
1	4522291325173762	0	io:RollerShutterGenericIOComponent	PositionableRollerShutter	1	RollerShutter	1
1	4523390836801538	0	io:RollerShutterGenericIOComponent	PositionableRollerShutter	1	RollerShutter	1
1	4524490348429314	0	io:RollerShutterGenericIOComponent	PositionableRollerShutter	1	RollerShutter	1
1	4525589860057090	0	io:RollerShutterGenericIOComponent	PositionableRollerShutter	1	RollerShutter	1
1	4526689371684866	0	io:RollerShutterGenericIOComponent	PositionableRollerShutter	1	RollerShutter	1
1	4527788883312642	0	io:RollerShutterGenericIOComponent	PositionableRollerShutter	1	RollerShutter	1
1	4528888394940418	0	io:RollerShutterGenericIOComponent	PositionableRollerShutter	1	RollerShutter	1
1	4529987906568194	0	io:RollerShutterGenericIOComponent	PositionableRollerShutter	1	RollerShutter	1
1	4531087418195970	0	io:RollerShutterGenericIOComponent	PositionableRollerShutter	1	RollerShutter	1
1	4532186929823746	0	io:RollerShutterGenericIOComponent	PositionableRollerShutter	1	RollerShutter	1
1	4533286441451522	0	io:RollerShutterGenericIOComponent	PositionableRollerShutter	1	RollerShutter	1
1	4534385953079298	0	io:RollerShutterGenericIOComponent	PositionableRollerShutter	1	RollerShutter	1
1	4535485464707074	0	io:RollerShutterGenericIOComponent	PositionableRollerShutter	1	RollerShutter	1
1	4536584976334850	0	io:RollerShutterGenericIOComponent	PositionableRollerShutter	1	RollerShutter	1
1	4537684487962626	0	io:RollerShutterGenericIOComponent	PositionableRollerShutter	1	RollerShutter	1
