protocolType	typeId	subsystemId	controllable	name	rawStates	converterCall	converterContext
1	4504699139129346	0	io:RollerShutterGenericIOComponent	core:StatusState	2147426304	func_4504699139129346_0_core_StatusState(value_2147426304)	local function func_4504699139129346_0_core_StatusState(p1) local IOUtils = depends("io-utils"); return IOUtils.fromRawStatusState(p1) end
1	4504699139129346	0	io:RollerShutterGenericIOComponent	core:NameState	1	func_4504699139129346_0_core_NameState(value_1)	local function func_4504699139129346_0_core_NameState(p1) local IOUtils = depends("io-utils"); return IOUtils.fromRawName(p1) end
1	4504699139129346	0	io:RollerShutterGenericIOComponent	core:DiscreteRSSILevelState	2146500638	func_4504699139129346_0_core_DiscreteRSSILevelState(value_2146500638)	local function func_4504699139129346_0_core_DiscreteRSSILevelState(p1) local IOUtils = depends("io-utils"); return IOUtils.computeDiscreteRSSILevel(p1) end
1	4504699139129346	0	io:RollerShutterGenericIOComponent	core:RSSILevelState	2146500638	func_770_1(value_2146500638)	 local function func_770_1(p1) if (p1 >= -50) then return 100 elseif (p1 < -100) then return 0 else return 2 * (p1 + 100) end  end
1	4504699139129346	0	io:RollerShutterGenericIOComponent	core:MovingState	65557	func_4504699139129346_0_core_MovingState(func_65557_2(value_65557))	local function func_4504699139129346_0_core_MovingState(p1) if(p1 == 4) then   return true else   return false end end local function func_65557_2(p1) return bit.band(p1, 0x07)  end
1	4504699139129346	0	io:RollerShutterGenericIOComponent	core:AdditionalStatusState	2146500645	func_4504699139129346_0_core_AdditionalStatusState(value_2146500645)	local function func_4504699139129346_0_core_AdditionalStatusState(p1) local IOUtils = depends("io-utils"); return IOUtils.updateAdditionalStatusState(p1) end
1	4504699139129346	0	io:RollerShutterGenericIOComponent	core:ClosureState	65537	func_4504699139129346_0_core_ClosureState(value_65537)	local function func_4504699139129346_0_core_ClosureState(p1) local IOUtils = depends("io-utils"); return IOUtils.toPercentValue(p1); end
1	4504699139129346	0	io:RollerShutterGenericIOComponent	core:OpenClosedState	65537	func_4504699139129346_0_core_OpenClosedState(value_65537)	local function func_4504699139129346_0_core_OpenClosedState(p1) if (p1 == 51200) then return "closed" else return "open" end end
1	4504699139129346	0	io:RollerShutterGenericIOComponent	core:Memorized1PositionState	16832512	func_4504699139129346_0_core_Memorized1PositionState(value_16832512)	local function func_4504699139129346_0_core_Memorized1PositionState(p1) local IOUtils = depends("io-utils"); return IOUtils.toPercentValue(p1); end
1	4504699139129346	0	io:RollerShutterGenericIOComponent	core:SecuredPositionState	16832522	func_4504699139129346_0_core_SecuredPositionState(value_16832522)	local function func_4504699139129346_0_core_SecuredPositionState(p1) local IOUtils = depends("io-utils"); return IOUtils.toPercentValue(p1); end
1	4504699139129346	0	io:RollerShutterGenericIOComponent	core:TargetClosureState	16830720,65537,16832512,16832522	func_33554467(value_16830720,value_65537,value_16832512,value_16832522)	 local function func_33554467(p1,p2,p3,p4) local IOUtils = depends("io-utils"); return IOUtils.toPercentTargetValue(p1,p2,{[0xD800] = p3, [0xD80A] = p4}); end
1	4504699139129346	0	io:RollerShutterGenericIOComponent	core:ManufacturerSettingsState	84082687,65537	func_4504699139129346_0_core_ManufacturerSettingsState(value_84082687,value_65537)	local function func_4504699139129346_0_core_ManufacturerSettingsState(p1,p2) local IOSettingsUtils = depends("io-devices-settings-utils"); return IOSettingsUtils.aggregateConfig({["roll_end_limit_state"] = {["type"] = "string",["value"] = p1,["baseCommand"] = "readObject",["stateId"] = 84082687,["refreshAll"] = true,["params"] = {[1] = "0xFFFF"},["conversions"] = {{["function"] = "extractBytesFromAck",["params"] = {[1] = 239,[2] = 1}},{["function"] = "simpleMatching",["params"] = {[1] = {["0"] = "Not_set", ["1"] = "Manual", ["2"] = "Manual", ["3"] = "Auto", ["4"] = "Auto", ["5"] = "Assisted", ["6"] = "Assisted"}}}}}, ["setting_state"] = {["type"] = "string",["value"] = p1,["baseCommand"] = "readObject",["stateId"] = 84082687,["refreshAll"] = true,["params"] = {[1] = "0xFFFF"},["conversions"] = {{["function"] = "extractBytesFromAck",["params"] = {[1] = 246,[2] = 1}},{["function"] = "simpleMatching",["params"] = {[1] = {["0"] = "Not set", ["1"] = "Setting in progress", ["2"] = "Set", ["3"] = "User mode", ["4"] = "Re-setting in progress"}}}}}, ["current_position"] = {["type"] = "int",["value"] = p2,["baseCommand"] = "readMP",["stateId"] = 65537,["refreshAll"] = false,["params"] = {}}, ["unroll_end_limit_state"] = {["type"] = "string",["value"] = p1,["baseCommand"] = "readObject",["stateId"] = 84082687,["refreshAll"] = true,["params"] = {[1] = "0xFFFF"},["conversions"] = {{["function"] = "extractBytesFromAck",["params"] = {[1] = 241,[2] = 1}},{["function"] = "simpleMatching",["params"] = {[1] = {["0"] = "Not_set", ["1"] = "Manual", ["2"] = "Manual", ["3"] = "Auto", ["4"] = "Auto", ["5"] = "Assisted", ["6"] = "Assisted"}}}}}}); end
1	4505798650757122	0	io:RollerShutterGenericIOComponent	core:StatusState	2147426304	func_4505798650757122_0_core_StatusState(value_2147426304)	local function func_4505798650757122_0_core_StatusState(p1) local IOUtils = depends("io-utils"); return IOUtils.fromRawStatusState(p1) end
1	4505798650757122	0	io:RollerShutterGenericIOComponent	core:NameState	1	func_4505798650757122_0_core_NameState(value_1)	local function func_4505798650757122_0_core_NameState(p1) local IOUtils = depends("io-utils"); return IOUtils.fromRawName(p1) end
1	4505798650757122	0	io:RollerShutterGenericIOComponent	core:DiscreteRSSILevelState	2146500638	func_4505798650757122_0_core_DiscreteRSSILevelState(value_2146500638)	local function func_4505798650757122_0_core_DiscreteRSSILevelState(p1) local IOUtils = depends("io-utils"); return IOUtils.computeDiscreteRSSILevel(p1) end
1	4505798650757122	0	io:RollerShutterGenericIOComponent	core:RSSILevelState	2146500638	func_770_1(value_2146500638)	 local function func_770_1(p1) if (p1 >= -50) then return 100 elseif (p1 < -100) then return 0 else return 2 * (p1 + 100) end  end
1	4505798650757122	0	io:RollerShutterGenericIOComponent	core:MovingState	65557	func_4505798650757122_0_core_MovingState(func_65557_2(value_65557))	local function func_4505798650757122_0_core_MovingState(p1) if(p1 == 4) then   return true else   return false end end local function func_65557_2(p1) return bit.band(p1, 0x07)  end
1	4505798650757122	0	io:RollerShutterGenericIOComponent	core:AdditionalStatusState	2146500645	func_4505798650757122_0_core_AdditionalStatusState(value_2146500645)	local function func_4505798650757122_0_core_AdditionalStatusState(p1) local IOUtils = depends("io-utils"); return IOUtils.updateAdditionalStatusState(p1) end
1	4505798650757122	0	io:RollerShutterGenericIOComponent	core:ClosureState	65537	func_4505798650757122_0_core_ClosureState(value_65537)	local function func_4505798650757122_0_core_ClosureState(p1) local IOUtils = depends("io-utils"); return IOUtils.toPercentValue(p1); end
1	4505798650757122	0	io:RollerShutterGenericIOComponent	core:OpenClosedState	65537	func_4505798650757122_0_core_OpenClosedState(value_65537)	local function func_4505798650757122_0_core_OpenClosedState(p1) if (p1 == 51200) then return "closed" else return "open" end end
1	4505798650757122	0	io:RollerShutterGenericIOComponent	core:Memorized1PositionState	16832512	func_4505798650757122_0_core_Memorized1PositionState(value_16832512)	local function func_4505798650757122_0_core_Memorized1PositionState(p1) local IOUtils = depends("io-utils"); return IOUtils.toPercentValue(p1); end
1	4505798650757122	0	io:RollerShutterGenericIOComponent	core:SecuredPositionState	16832522	func_4505798650757122_0_core_SecuredPositionState(value_16832522)	local function func_4505798650757122_0_core_SecuredPositionState(p1) local IOUtils = depends("io-utils"); return IOUtils.toPercentValue(p1); end
1	4505798650757122	0	io:RollerShutterGenericIOComponent	core:TargetClosureState	16830720,65537,16832512,16832522	func_33554467(value_16830720,value_65537,value_16832512,value_16832522)	 local function func_33554467(p1,p2,p3,p4) local IOUtils = depends("io-utils"); return IOUtils.toPercentTargetValue(p1,p2,{[0xD800] = p3, [0xD80A] = p4}); end
1	4505798650757122	0	io:RollerShutterGenericIOComponent	core:ManufacturerSettingsState	84082687,65537	func_4505798650757122_0_core_ManufacturerSettingsState(value_84082687,value_65537)	local function func_4505798650757122_0_core_ManufacturerSettingsState(p1,p2) local IOSettingsUtils = depends("io-devices-settings-utils"); return IOSettingsUtils.aggregateConfig({["roll_end_limit_state"] = {["type"] = "string",["value"] = p1,["baseCommand"] = "readObject",["stateId"] = 84082687,["refreshAll"] = true,["params"] = {[1] = "0xFFFF"},["conversions"] = {{["function"] = "extractBytesFromAck",["params"] = {[1] = 239,[2] = 1}},{["function"] = "simpleMatching",["params"] = {[1] = {["0"] = "Not_set", ["1"] = "Manual", ["2"] = "Manual", ["3"] = "Auto", ["4"] = "Auto", ["5"] = "Assisted", ["6"] = "Assisted"}}}}}, ["setting_state"] = {["type"] = "string",["value"] = p1,["baseCommand"] = "readObject",["stateId"] = 84082687,["refreshAll"] = true,["params"] = {[1] = "0xFFFF"},["conversions"] = {{["function"] = "extractBytesFromAck",["params"] = {[1] = 246,[2] = 1}},{["function"] = "simpleMatching",["params"] = {[1] = {["0"] = "Not set", ["1"] = "Setting in progress", ["2"] = "Set", ["3"] = "User mode", ["4"] = "Re-setting in progress"}}}}}, ["current_position"] = {["type"] = "int",["value"] = p2,["baseCommand"] = "readMP",["stateId"] = 65537,["refreshAll"] = false,["params"] = {}}, ["unroll_end_limit_state"] = {["type"] = "string",["value"] = p1,["baseCommand"] = "readObject",["stateId"] = 84082687,["refreshAll"] = true,["params"] = {[1] = "0xFFFF"},["conversions"] = {{["function"] = "extractBytesFromAck",["params"] = {[1] = 241,[2] = 1}},{["function"] = "simpleMatching",["params"] = {[1] = {["0"] = "Not_set", ["1"] = "Manual", ["2"] = "Manual", ["3"] = "Auto", ["4"] = "Auto", ["5"] = "Assisted", ["6"] = "Assisted"}}}}}}); end
1	4506898162384898	0	io:RollerShutterGenericIOComponent	core:StatusState	2147426304	func_4506898162384898_0_core_StatusState(value_2147426304)	local function func_4506898162384898_0_core_StatusState(p1) local IOUtils = depends("io-utils"); return IOUtils.fromRawStatusState(p1) end
1	4506898162384898	0	io:RollerShutterGenericIOComponent	core:NameState	1	func_4506898162384898_0_core_NameState(value_1)	local function func_4506898162384898_0_core_NameState(p1) local IOUtils = depends("io-utils"); return IOUtils.fromRawName(p1) end
1	4506898162384898	0	io:RollerShutterGenericIOComponent	core:DiscreteRSSILevelState	2146500638	func_4506898162384898_0_core_DiscreteRSSILevelState(value_2146500638)	local function func_4506898162384898_0_core_DiscreteRSSILevelState(p1) local IOUtils = depends("io-utils"); return IOUtils.computeDiscreteRSSILevel(p1) end
1	4506898162384898	0	io:RollerShutterGenericIOComponent	core:RSSILevelState	2146500638	func_770_1(value_2146500638)	 local function func_770_1(p1) if (p1 >= -50) then return 100 elseif (p1 < -100) then return 0 else return 2 * (p1 + 100) end  end
1	4506898162384898	0	io:RollerShutterGenericIOComponent	core:MovingState	65557	func_4506898162384898_0_core_MovingState(func_65557_2(value_65557))	local function func_4506898162384898_0_core_MovingState(p1) if(p1 == 4) then   return true else   return false end end local function func_65557_2(p1) return bit.band(p1, 0x07)  end
1	4506898162384898	0	io:RollerShutterGenericIOComponent	core:AdditionalStatusState	2146500645	func_4506898162384898_0_core_AdditionalStatusState(value_2146500645)	local function func_4506898162384898_0_core_AdditionalStatusState(p1) local IOUtils = depends("io-utils"); return IOUtils.updateAdditionalStatusState(p1) end
1	4506898162384898	0	io:RollerShutterGenericIOComponent	core:ClosureState	65537	func_4506898162384898_0_core_ClosureState(value_65537)	local function func_4506898162384898_0_core_ClosureState(p1) local IOUtils = depends("io-utils"); return IOUtils.toPercentValue(p1); end
1	4506898162384898	0	io:RollerShutterGenericIOComponent	core:OpenClosedState	65537	func_4506898162384898_0_core_OpenClosedState(value_65537)	local function func_4506898162384898_0_core_OpenClosedState(p1) if (p1 == 51200) then return "closed" else return "open" end end
1	4506898162384898	0	io:RollerShutterGenericIOComponent	core:Memorized1PositionState	16832512	func_4506898162384898_0_core_Memorized1PositionState(value_16832512)	local function func_4506898162384898_0_core_Memorized1PositionState(p1) local IOUtils = depends("io-utils"); return IOUtils.toPercentValue(p1); end
1	4506898162384898	0	io:RollerShutterGenericIOComponent	core:SecuredPositionState	16832522	func_4506898162384898_0_core_SecuredPositionState(value_16832522)	local function func_4506898162384898_0_core_SecuredPositionState(p1) local IOUtils = depends("io-utils"); return IOUtils.toPercentValue(p1); end
1	4506898162384898	0	io:RollerShutterGenericIOComponent	core:TargetClosureState	16830720,65537,16832512,16832522	func_33554467(value_16830720,value_65537,value_16832512,value_16832522)	 local function func_33554467(p1,p2,p3,p4) local IOUtils = depends("io-utils"); return IOUtils.toPercentTargetValue(p1,p2,{[0xD800] = p3, [0xD80A] = p4}); end
1	4506898162384898	0	io:RollerShutterGenericIOComponent	core:ManufacturerSettingsState	84059651,65537	func_4506898162384898_0_core_ManufacturerSettingsState(value_84059651,value_65537)	local function func_4506898162384898_0_core_ManufacturerSettingsState(p1,p2) local IOSettingsUtils = depends("io-devices-settings-utils"); return IOSettingsUtils.aggregateConfig({["roll_end_limit_state"] = {["type"] = "string",["value"] = p1,["baseCommand"] = "readObject",["stateId"] = 84059651,["refreshAll"] = true,["params"] = {[1] = "0xA603"},["conversions"] = {{["function"] = "readSOFOPU",["params"] = {[1] = 0}},{["function"] = "simpleMatching",["params"] = {[1] = {["0"] = "Not_set", ["1"] = "Manual", ["2"] = "Manual", ["3"] = "Auto", ["4"] = "Auto", ["5"] = "Assisted", ["6"] = "Assisted"}}}}}, ["setting_state"] = {["type"] = "string",["value"] = p1,["baseCommand"] = "readObject",["stateId"] = 84059651,["refreshAll"] = true,["params"] = {[1] = "0xA603"},["conversions"] = {{["function"] = "readSOFOPU",["params"] = {[1] = 2}},{["function"] = "simpleMatching",["params"] = {[1] = {["0"] = "Not set", ["1"] = "Setting in progress", ["2"] = "Set", ["3"] = "User mode", ["4"] = "Re-setting in progress"}}}}}, ["current_position"] = {["type"] = "int",["value"] = p2,["baseCommand"] = "readMP",["stateId"] = 65537,["refreshAll"] = false,["params"] = {}}, ["unroll_end_limit_state"] = {["type"] = "string",["value"] = p1,["baseCommand"] = "readObject",["stateId"] = 84059651,["refreshAll"] = true,["params"] = {[1] = "0xA603"},["conversions"] = {{["function"] = "readSOFOPU",["params"] = {[1] = 1}},{["function"] = "simpleMatching",["params"] = {[1] = {["0"] = "Not_set", ["1"] = "Manual", ["2"] = "Manual", ["3"] = "Auto", ["4"] = "Auto", ["5"] = "Assisted", ["6"] = "Assisted"}}}}}}); end
1	4507997674012674	0	io:RollerShutterGenericIOComponent	core:StatusState	2147426304	func_4507997674012674_0_core_StatusState(value_2147426304)	local function func_4507997674012674_0_core_StatusState(p1) local IOUtils = depends("io-utils"); return IOUtils.fromRawStatusState(p1) end
1	4507997674012674	0	io:RollerShutterGenericIOComponent	core:NameState	1	func_4507997674012674_0_core_NameState(value_1)	local function func_4507997674012674_0_core_NameState(p1) local IOUtils = depends("io-utils"); return IOUtils.fromRawName(p1) end
1	4507997674012674	0	io:RollerShutterGenericIOComponent	core:DiscreteRSSILevelState	2146500638	func_4507997674012674_0_core_DiscreteRSSILevelState(value_2146500638)	local function func_4507997674012674_0_core_DiscreteRSSILevelState(p1) local IOUtils = depends("io-utils"); return IOUtils.computeDiscreteRSSILevel(p1) end
1	4507997674012674	0	io:RollerShutterGenericIOComponent	core:RSSILevelState	2146500638	func_770_1(value_2146500638)	 local function func_770_1(p1) if (p1 >= -50) then return 100 elseif (p1 < -100) then return 0 else return 2 * (p1 + 100) end  end
1	4507997674012674	0	io:RollerShutterGenericIOComponent	core:MovingState	65557	func_4507997674012674_0_core_MovingState(func_65557_2(value_65557))	local function func_4507997674012674_0_core_MovingState(p1) if(p1 == 4) then   return true else   return false end end local function func_65557_2(p1) return bit.band(p1, 0x07)  end
