TypeNumber;TypeName;SubTypeName;TypeRegex;SubTypeRegex;Protocols
0;KizBoxV1Virtual; ;``; ;AURORA, AXIS, CAMERA, EN_OCEAN, HOMEKIT, HUE, INTERNAL, IO, JAGA, KNX, MODBUS, OGP, OVP, PROFALUX_868, RAMSES, RTD, RTDS, RTN, RTS, RTW, SAUTER_IPC, UPNP_CONTROL, WAVENIS, WMBUS, XCOMFORT, YOKIS, ZIGBEE, ZWAVE
1;Linkki; ;`^LINKI-[0-9]{4}-[0-9]{4}-[0-9]{4}$`; ;IO, RTS
2;KizBoxV1; ;`^02[0-9]{2}-[0-9]{4}-[0-9]{4}$`; ;AURORA, AXIS, CAMERA, EN_OCEAN, HUE, INTERNAL, IO, JAGA, KNX, MODBUS, OVP, RAMSES, RTD, RTDS, RTS, SAUTER_IPC, UPNP_CONTROL, WAVENIS, WMBUS, YOKIS, ZWAVE
3;VITTYMediaBusController; ;``; ;MEDIABUS
6;STM32; ;`^STP[0-9]{5}$`; ;META
7;SomfyBox; ;`^02[0-9]{2}-[0-9]{4}-[0-9]{4}$`; ;AURORA, AXIS, CAMERA, EN_OCEAN, HUE, INTERNAL, IO, JAGA, KNX, MODBUS, OVP, RAMSES, RTD, RTDS, RTS, SAUTER_IPC, UPNP_CONTROL, WAVENIS, WMBUS, YOKIS, ZWAVE
8;TahomaLiberty; ;`^02[0-9]{2}-[0-9]{4}-[0-9]{4}$`; ;AURORA, AXIS, CAMERA, EN_OCEAN, HUE, INTERNAL, IO, JAGA, KNX, MODBUS, OVP, RAMSES, RTD, RTDS, RTS, SAUTER_IPC, UPNP_CONTROL, WAVENIS, WMBUS, YOKIS, ZWAVE
9;ZenBoxControl; ;`^023[0-9]-[0-9]{4}-[0-9]{4}$`; ;AURORA, AXIS, CAMERA, EN_OCEAN, HUE, INTERNAL, IO, JAGA, KNX, MODBUS, OVP, RAMSES, RTD, RTDS, RTDS, SAUTER_IPC, UPNP_CONTROL, WAVENIS, WMBUS, YOKIS, ZWAVE
10;BDRThermeaBox; ;`^024[0-9]-[0-9]{4}-[0-9]{4}$`; ;AURORA, AXIS, CAMERA, EN_OCEAN, HUE, INTERNAL, IO, JAGA, KNX, MODBUS, OVP, RAMSES, RTD, RTDS, RTS, SAUTER_IPC, UPNP_CONTROL, WAVENIS, WMBUS, YOKIS, ZWAVE
11;JagaBox; ;`^02[0-9]{2}-[0-9]{4}-[0-9]{4}$`; ;INTERNAL, JAGA
12;EEBUSGateway; ;`^EEBUS*`; ;EEBUS
13;ZenBoxMonitoring; ;`^023[0-9]-[0-9]{4}-[0-9]{4}$`; ;CAMERA, EN_OCEAN, INTERNAL, IO, OVP, RAMSES, RTD, RTDS, RTS, WMBUS, ZWAVE
14;KizBoxTCPEAP; ;`^02[0-9]{2}-[0-9]{4}-[0-9]{4}$`; ;AURORA, AXIS, CAMERA, EN_OCEAN, HUE, INTERNAL, IO, JAGA, KNX, MODBUS, OVP, RAMSES, RTD, RTDS, RTS, SAUTER_IPC, UPNP_CONTROL, WAVENIS, WMBUS, YOKIS, ZWAVE
15;Tahoma; ;`^02[0-9]{2}-[0-9]{4}-[0-9]{4}$`; ;AURORA, AXIS, CAMERA, EN_OCEAN, HUE, INTERNAL, IO, JAGA, KNX, MODBUS, OVP, RAMSES, RTD, RTDS, RTS, SAUTER_IPC, UPNP_CONTROL, WAVENIS, WMBUS, YOKIS, ZWAVE
15;Tahoma;BASIC;`^02[0-9]{2}-[0-9]{4}-[0-9]{4}$`;0,1;AURORA, AXIS, CAMERA, EN_OCEAN, HUE, INTERNAL, IO, JAGA, KNX, MODBUS, OVP, RAMSES, RTD, RTDS, RTS, SAUTER_IPC, UPNP_CONTROL, WAVENIS, WMBUS, YOKIS, ZWAVE
15;Tahoma;BASIC_PLUS;`^02[0-9]{2}-[0-9]{4}-[0-9]{4}$`;1,2;AURORA, AXIS, CAMERA, EN_OCEAN, HUE, INTERNAL, IO, JAGA, KNX, MODBUS, OVP, RAMSES, RTD, RTDS, RTS, SAUTER_IPC, UPNP_CONTROL, WAVENIS, WMBUS, YOKIS, ZWAVE
15;Tahoma;PREMIUM;`^02[0-9]{2}-[0-9]{4}-[0-9]{4}$`;2,3;AURORA, AXIS, CAMERA, EN_OCEAN, HUE, INTERNAL, IO, JAGA, KNX, MODBUS, OVP, RAMSES, RTD, RTDS, RTS, SAUTER_IPC, UPNP_CONTROL, WAVENIS, WMBUS, YOKIS, ZWAVE
15;Tahoma;SOMFY_BOX;`^02[0-9]{2}-[0-9]{4}-[0-9]{4}$`;3,4;AURORA, AXIS, CAMERA, EN_OCEAN, HUE, INTERNAL, IO, JAGA, KNX, MODBUS, OVP, RAMSES, RTD, RTDS, RTS, SAUTER_IPC, UPNP_CONTROL, WAVENIS, WMBUS, YOKIS, ZWAVE
15;Tahoma;HITACHI_BOX;`^02[0-9]{2}-[0-9]{4}-[0-9]{4}$`;4,5;AURORA, AXIS, CAMERA, EN_OCEAN, HUE, INTERNAL, IO, JAGA, KNX, MODBUS, OVP, RAMSES, RTD, RTDS, RTS, SAUTER_IPC, UPNP_CONTROL, WAVENIS, WMBUS, YOKIS, ZWAVE
15;Tahoma;MONDIAL_ASSISTANCE;`^02[0-9]{2}-[0-9]{4}-[0-9]{4}$`;5,6;AURORA, AXIS, CAMERA, EN_OCEAN, HUE, INTERNAL, IO, JAGA, KNX, MODBUS, OVP, RAMSES, RTD, RTDS, RTS, SAUTER_IPC, UPNP_CONTROL, WAVENIS, WMBUS, YOKIS, ZWAVE
15;Tahoma;MAROC_TELECOM;`^02[0-9]{2}-[0-9]{4}-[0-9]{4}$`;6,7;AURORA, AXIS, CAMERA, EN_OCEAN, HUE, INTERNAL, IO, JAGA, KNX, MODBUS, OVP, RAMSES, RTD, RTDS, RTS, SAUTER_IPC, UPNP_CONTROL, WAVENIS, WMBUS, YOKIS, ZWAVE
15;Tahoma;VERISURE;`^02[0-9]{2}-[0-9]{4}-[0-9]{4}$`;7,9;AURORA, AXIS, CAMERA, EN_OCEAN, HUE, INTERNAL, IO, JAGA, KNX, MODBUS, OVP, RAMSES, RTD, RTDS, RTS, SAUTER_IPC, UPNP_CONTROL, WAVENIS, WMBUS, YOKIS, ZWAVE
15;Tahoma;SHORT_CHANNEL;`^02[0-9]{2}-[0-9]{4}-[0-9]{4}$`;8,13;AURORA, AXIS, CAMERA, EN_OCEAN, HUE, INTERNAL, IO, JAGA, KNX, MODBUS, OVP, RAMSES, RTD, RTDS, RTS, SAUTER_IPC, UPNP_CONTROL, WAVENIS, WMBUS, YOKIS, ZWAVE
15;Tahoma;PRO;`^02[0-9]{2}-[0-9]{4}-[0-9]{4}$`;9,14;AURORA, AXIS, CAMERA, EN_OCEAN, HUE, INTERNAL, IO, JAGA, KNX, MODBUS, OVP, RAMSES, RTD, RTDS, RTS, SAUTER_IPC, UPNP_CONTROL, WAVENIS, WMBUS, YOKIS, ZWAVE
15;Tahoma;SECURITY_SHORT_CHANNEL;`^02[0-9]{2}-[0-9]{4}-[0-9]{4}$`;10,15;AURORA, AXIS, CAMERA, EN_OCEAN, HUE, INTERNAL, IO, JAGA, KNX, MODBUS, OVP, RAMSES, RTD, RTDS, RTS, SAUTER_IPC, UPNP_CONTROL, WAVENIS, WMBUS, YOKIS, ZWAVE
15;Tahoma;SECURITY_PRO;`^02[0-9]{2}-[0-9]{4}-[0-9]{4}$`;11,16;AURORA, AXIS, CAMERA, EN_OCEAN, HUE, INTERNAL, IO, JAGA, KNX, MODBUS, OVP, RAMSES, RTD, RTDS, RTS, SAUTER_IPC, UPNP_CONTROL, WAVENIS, WMBUS, YOKIS, ZWAVE
15;Tahoma;TRYBA;`^02[0-9]{2}-[0-9]{4}-[0-9]{4}$`;12,17;AURORA, AXIS, CAMERA, EN_OCEAN, HUE, INTERNAL, IO, JAGA, KNX, MODBUS, OVP, RAMSES, RTD, RTDS, RTS, SAUTER_IPC, UPNP_CONTROL, WAVENIS, WMBUS, YOKIS, ZWAVE
15;Tahoma;TAHOMA;`^02[0-9]{2}-[0-9]{4}-[0-9]{4}$`;13,100;AURORA, AXIS, CAMERA, EN_OCEAN, HUE, INTERNAL, IO, JAGA, KNX, MODBUS, OVP, RAMSES, RTD, RTDS, RTS, SAUTER_IPC, UPNP_CONTROL, WAVENIS, WMBUS, YOKIS, ZWAVE
15;Tahoma;TAHOMA_LIBERTY;`^02[0-9]{2}-[0-9]{4}-[0-9]{4}$`;14,101;AURORA, AXIS, CAMERA, EN_OCEAN, HUE, INTERNAL, IO, JAGA, KNX, MODBUS, OVP, RAMSES, RTD, RTDS, RTS, SAUTER_IPC, UPNP_CONTROL, WAVENIS, WMBUS, YOKIS, ZWAVE
15;Tahoma;SOMFY_BOX_OLD;`^02[0-9]{2}-[0-9]{4}-[0-9]{4}$`;15,102;AURORA, AXIS, CAMERA, EN_OCEAN, HUE, INTERNAL, IO, JAGA, KNX, MODBUS, OVP, RAMSES, RTD, RTDS, RTS, SAUTER_IPC, UPNP_CONTROL, WAVENIS, WMBUS, YOKIS, ZWAVE
16;KizBoxLC; ;`^KLC[0-9]{5}$`; ;
